Country,Continent,Production (Tons),Production per Person (Kg),Acreage (Hectare),Yield (Kg / Hectare)
Brazil,South America,768.678.382,3.668531,10.226.205,75.1675
India,Asia,348.448.000,260721,4.950.000,70.3935
China,Asia,123.059.739,88287,1.675.215,73.4591
Thailand,Asia,87.468.496,1.264303,1.336.575,65.4422
Pakistan,Asia,65.450.704,324219,1.130.820,57.879
Mexico,North America,56.446.821,452524,781.054,72.27
Colombia,South America,36.951.213,740075,416.626,88.6915
Australia,Oceania,34.403.004,1.373406,447.204,76.9291
Guatemala,North America,33.533.403,1.938114,259.85,129.0493
United States of America,North America,29.926.210,91304,370.53,80.766
Indonesia,Asia,27.158.830,10248,472.693,57.4555
Philippines,Asia,22.370.546,210232,410.104,54.5485
Argentina,South America,21.990.823,494237,331.699,66.2975
Cuba,North America,18.890.972,1.683528,442.307,42.7101
Vietnam,Asia,16.313.145,172334,256.322,63.6432
Egypt,Africa,15.760.418,161651,137.011,115.0306
South Africa,Africa,15.074.610,261143,246.937,61.0463
Myanmar,Asia,10.437.058,193771,163.65,63.7767
Peru,South America,9.832.526,314768,87.696,112.1202
Ecuador,South America,8.661.609,507518,104.661,82.7584
Iran,Asia,7.687.593,9403,95.785,80.2591
El Salvador,North America,7.202.141,1.084111,79.103,91.0476
Kenya,Africa,7.094.619,139244,86.876,81.6637
Bolivia,South America,6.910.805,61118,152.306,45.3745
Nicaragua,North America,6.815.147,1.084393,74.13,91.9351
Paraguay,South America,6.708.000,951087,120,55.9
Swaziland,Africa,5.583.295,4.816299,57.851,96.5114
Sudan,Africa,5.525.059,135428,69.564,79.4245
Honduras,North America,5.355.700,59427,64.666,82.8213
Dominican Republic,North America,4.717.490,459519,106.81,44.167
Nepal,Asia,4.346.754,148765,80.931,53.7094
Zambia,Africa,4.285.839,253784,41.695,102.7896
Bangladesh,Asia,4.207.592,25481,98.357,42.7788
Costa Rica,North America,4.158.370,83111,69.03,60.24
Mauritius,Africa,3.798.448,3.002994,51.477,73.7892
Uganda,Africa,3.723.019,95897,54.911,67.8014
Zimbabwe,Africa,3.483.000,234563,43.5,80.069
Venezuela,South America,3.331.252,104664,52.23,63.7804
Madagascar,Africa,3.005.641,114445,94.157,31.9216
Tanzania,Africa,2.994.127,55243,108.487,27.5991
Malawi,Africa,2.915.406,162584,27.087,107.6295
Mozambique,Africa,2.761.505,9568,42.311,65.2668
Panama,North America,2.419.638,581814,37.995,63.6831
Guyana,South America,2.394.553,3.061207,44.311,54.0397
Congo-Kinshasa,Africa,2.191.333,2694,48.91,44.8034
Laos,Asia,2.019.000,290036,36.18,55.8043
C̫te d'Ivoire,Africa,1.982.661,79606,25.205,78.6603
Japan,Asia,1.574.000,12444,28.901,54.4616
Fiji,Oceania,1.556.692,1.759199,36.705,42.4113
Haiti,North America,1.472.712,132522,23.184,63.5219
Belize,North America,1.457.656,3.682047,33.964,42.9177
Jamaica,North America,1.422.432,521254,26.255,54.1782
Ethiopia,Africa,1.410.312,13115,31.237,45.1488
Nigeria,Africa,1.337.572,6776,82.586,16.1961
Cameroon,Africa,1.288.732,54162,135.984,9.4771
Trinidad and Tobago,North America,810,597066,15,54
Sri Lanka,Asia,747.907,34877,16.751,44.6478
Senegal,Africa,696.992,44321,5.902,118.0853
Congo-Brazzaville,Africa,687.365,127292,20.132,34.1424
Cambodia,Asia,610.878,38014,27.387,22.3055
Angola,Africa,556.094,19012,14.255,39.0116
Burkina Faso,Africa,484.872,23951,4.823,100.5263
Chad,Africa,455.986,297,4.433,102.8671
Morocco,Africa,426.503,12265,10.434,40.8763
Taiwan,Asia,395.8,16788,5.917,66.8966
Uruguay,South America,367.7,104878,7.6,48.3816
Mali,Africa,365.119,19108,5.035,72.5211
Guinea,Africa,304.975,25664,5.683,53.6684
Gabon,Africa,286.466,138553,4.645,61.6753
Liberia,Africa,272.804,6225,26.781,10.1864
Burundi,Africa,218.115,2042,2.998,72.7535
Papua New Guinea,Oceania,217.866,25455,6.999,31.1289
Niger,Africa,216.037,10064,5.84,36.9897
Somalia,Africa,210.62,13873,5.731,36.7492
Ghana,Africa,152.136,5137,6.122,24.8489
Suriname,South America,125.286,220457,3.13,40.0224
Central African Republic,Africa,103.002,21742,18.466,5.5778
Saint Kitts and Nevis,North America,100,2.164315,1.8,55.5556
Rwanda,Africa,93.823,7818,11.03,8.5063
Barbados,North America,83.369,291105,1.733,48.1068
Sierra Leone,Africa,77.269,10009,1.107,69.8113
The Bahamas,North America,57.602,151059,2.308,24.9535
Cape Verde,Africa,28.375,52152,1.296,21.8881
Saint Vincent and the Grenadines,North America,17.871,163121,732,24.4289
Afghanistan,Asia,17.364,55,1.333,13.0263
Bhutan,Asia,14.6,20079,467,31.2527
Benin,Africa,12.017,1058,598,20.0953
Iraq,Asia,11.67,297,584,20
Saint Lucia,North America,10,55915,125,80
Grenada,North America,7.273,70388,162,44.8223
Guinea-Bissau,Africa,6.864,4331,259,26.4988
Malaysia,Asia,5.714,175,88,65.2238
Portugal,Europe,5.429,528,62,88.2744
Antigua and Barbuda,North America,5.365,6217,83,64.6386
Dominica,North America,4.855,68099,244,19.9144
Oman,Asia,1.186,237,51,23.4322
Yemen,Asia,500,17,50,10
Spain,Europe,394,8,9,43.5965
Lebanon,Asia,97,16,3,28.3864
Djibouti,Africa,53,51,,
Singapore,Asia,50,9,2,25
Samoa,Oceania,12,6,1,11.9498
Syria,Asia,1,0,0,83.0342
